id,tributary,date,sex,length,floy_num,tag_col,PIT,site,group
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM16_0010,Middle,9/6/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0016,Middle,9/6/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0019,Middle,9/6/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0025,Middle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM16_0028,Middle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0053,Middle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0091,Grinnell,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0122,NFShoshone,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0155,NFShoshone,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0203,Eagle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0212,Eagle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0223,Eagle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_1147,Horse,9/14/2016,NA,NA,NA,NA,NA,NA,ref
EGM2018_2014,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2016,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2022,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2023,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM2018_2037,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2040,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM2018_2183,Trout Creek,9/16/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2335,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2336,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2337,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2338,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2339,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2340,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2341,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM2018_2343,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2345,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2346,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM2018_2348,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2349,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2350,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2351,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2352,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2353,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2354,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2359,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2360,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2361,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2362,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
WCR2019_0004,Middle Creek,4/23/2019,Male ,473,551,Pink,1.26057e+11,NA,7
WCR2019_0020,Trout Creek,4/25/2019,Male ,369,13,Orange,1.26057e+11,NA,6
WCR2019_0032,Middle Creek,5/3/2019,Male ,420,561,Pink,1.26057e+11,NA,3
WCR2019_0065,Trout Creek,5/10/2019,Male ,401,38,Orange,1.26057e+11,NA,6
WCR2019_0078,Trout Creek,5/11/2019,Male ,460,435,Green,1.26057e+11,NA,6
WCR2019_0079,Trout Creek,5/11/2019,Male ,427,581,Pink,1.26057e+11,NA,3
WCR2019_0081,Trout Creek,5/11/2019,Female ,461,582,Pink,1.26057e+11,NA,8
WCR2019_0117,Trout Creek,5/12/2019,Female ,480,437,Green,1.26057e+11,NA,5
